,location,bhk,total_sqft,bath,price,encoded_loc
4839,others,3,1600.0,2.0,75.0,232
4840,Uttarahalli,3,1330.0,2.0,57.0,218
4841,Jakkur,3,1355.0,2.0,65.0,111
4842,others,2,1100.0,2.0,38.49,232
4843,Chikkalasandra,2,1075.0,2.0,46.76,59
4844,others,2,800.0,2.0,55.0,232
4845,others,2,900.0,1.0,44.0,232
4846,Haralur Road,2,1140.0,2.0,42.0,90
4847,Padmanabhanagar,3,1710.0,2.0,90.63,179
4848,Talaghattapura,3,2106.0,3.0,148.0,210
4849,others,3,3800.0,2.0,130.0,232
4850,Marathahalli,2,1602.0,2.0,104.0,162
4851,Sarjapur  Road,3,1660.0,2.0,116.0,196
4852,Electronic City Phase II,3,1549.0,3.0,80.0,75
4853,Marathahalli,1,700.0,1.0,38.0,162
4854,Balagere,2,1012.0,2.0,64.0,25
4855,Whitefield,2,1216.0,2.0,69.0,226
4856,Electronic City Phase II,2,1065.0,2.0,56.13,75
4857,Thanisandra,3,1411.0,3.0,93.15,211
4858,Pai Layout,2,1400.0,2.0,57.5,180
4859,Haralur Road,2,1245.0,2.0,62.0,90
4860,Choodasandra,2,1115.0,2.0,50.0,60
4861,Vidyaranyapura,2,1000.0,2.0,35.0,221
4862,Panathur,3,1564.9842423276207,3.0,71.89,181
4863,Subramanyapura,3,1800.0,3.0,90.0,207
4864,Kothannur,3,1275.0,3.0,44.0,146
4865,Kasavanhalli,3,1494.0,3.0,82.0,131
4866,Bhoganhalli,3,1949.0,3.0,129.0,43
4867,BTM Layout,2,1020.0,2.0,46.5,23
4868,Mysore Road,2,883.0,2.0,45.0,167
4869,others,3,2010.0,3.0,125.0,232
4870,Yeshwanthpur,2,1240.0,2.0,80.0,231
4871,6th Phase JP Nagar,2,1213.0,2.0,63.0,5
4872,Hegde Nagar,3,1835.0,3.0,88.0,94
4873,Bannerghatta Road,4,2932.0,5.0,195.0,34
4874,Whitefield,4,3425.0,5.0,250.0,226
4875,Gottigere,2,945.0,2.0,45.0,82
4876,others,3,1504.0,2.0,100.0,232
4877,Harlur,3,1755.0,3.0,130.0,91
4878,Vijayanagar,3,1760.0,3.0,140.0,222
4879,Hoodi,2,1240.0,2.0,43.94,97
4880,Electronics City Phase 1,3,1450.0,3.0,72.54,76
4881,5th Phase JP Nagar,2,1000.0,2.0,48.0,4
4882,Shivaji Nagar,1,3820.0,1.0,306.0,202
4883,Thyagaraja Nagar,5,2000.0,4.0,145.0,214
4884,Choodasandra,2,1215.0,2.0,59.0,60
4885,Yelachenahalli,3,1330.0,3.0,73.5,227
4886,Raja Rajeshwari Nagar,2,1178.0,2.0,75.0,186
4887,others,2,2040.0,2.0,59.0,232
4888,Bellandur,3,2000.0,3.0,85.0,40
4889,Dasarahalli,3,2400.0,2.0,152.0,64
4890,Sarjapur  Road,3,1700.0,3.0,108.0,196
4891,Jigani,3,1200.0,3.0,65.0,114
4892,others,3,1500.0,3.0,72.0,232
4893,Kanakpura Road,3,1737.0,3.0,85.0,128
4894,others,3,1280.0,2.0,48.0,232
4895,CV Raman Nagar,2,1560.0,2.0,85.0,53
4896,Kambipura,2,883.0,2.0,44.0,124
4897,Kengeri Satellite Town,2,750.0,2.0,33.0,137
4898,Brookefield,4,2400.0,3.0,140.0,51
4899,others,2,900.0,2.0,45.0,232
4900,Hormavu,2,1030.0,2.0,49.35,100
4901,Hennur Road,3,1831.0,3.0,110.0,96
4902,others,2,1095.0,2.0,38.33,232
4903,Electronic City Phase II,3,1320.0,2.0,38.13,75
4904,7th Phase JP Nagar,2,1000.0,2.0,61.0,6
4905,Budigere,3,1820.0,3.0,85.4,52
4906,Bisuvanahalli,3,1075.0,2.0,41.0,46
4907,TC Palaya,3,1500.0,3.0,83.0,209
4908,Electronics City Phase 1,1,360.0,1.0,16.9,76
4909,Electronic City,2,1140.0,2.0,70.93,74
4910,others,2,1145.0,2.0,58.4,232
4911,others,3,1862.0,3.0,120.0,232
4912,Devarachikkanahalli,2,947.0,2.0,43.0,66
4913,Kalena Agrahara,2,1120.0,2.0,40.0,122
4914,others,3,2700.0,3.0,200.0,232
4915,Kaggadasapura,3,1805.0,2.0,75.0,119
4916,others,3,1677.0,3.0,98.0,232
4917,Uttarahalli,3,1560.0,3.0,74.0,218
4918,Arekere,3,2060.0,3.0,150.0,20
4919,Koramangala,3,1716.0,2.0,115.0,145
4920,Harlur,3,1864.0,3.0,140.0,91
4921,Electronics City Phase 1,1,638.0,1.0,32.0,76
4922,Chandapura,2,937.0,2.0,30.0,55
4923,others,3,1490.0,2.0,115.0,232
4924,Whitefield,2,1100.0,2.0,37.0,226
4925,Thigalarapalya,2,1000.0,2.0,48.53,212
4926,Horamavu Agara,2,1060.0,2.0,37.0,98
4927,Basaveshwara Nagar,2,1200.0,2.0,80.0,36
4928,Akshaya Nagar,3,1420.0,2.0,75.0,11
4929,Sarjapur  Road,3,1539.0,3.0,85.0,196
4930,others,3,1550.0,3.0,59.0,232
4931,Kasavanhalli,3,1555.0,3.0,82.0,131
4932,Seegehalli,3,1553.0,3.0,68.0,200
4933,others,3,1740.0,3.0,120.0,232
4934,OMBR Layout,3,1855.0,3.0,145.0,176
4935,others,2,1020.0,2.0,60.0,232
4936,Uttarahalli,3,1250.0,2.0,50.0,218
4937,Sanjay nagar,3,1450.0,3.0,75.0,193
4938,Thubarahalli,2,1200.0,2.0,80.0,213
4939,Haralur Road,2,1140.0,2.0,58.0,90
4940,others,1,550.0,1.0,16.0,232
4941,Bannerghatta Road,3,1450.0,3.0,44.0,34
4942,Kanakpura Road,2,700.0,2.0,35.07,128
4943,Whitefield,3,1200.0,3.0,56.0,226
4944,Yelahanka,2,1050.0,2.0,45.0,228
4945,Somasundara Palya,3,1600.0,3.0,69.0,204
4946,Bannerghatta Road,3,1625.0,2.0,75.0,34
4947,others,2,1492.0,2.0,65.0,232
4948,Sarjapur  Road,3,1489.0,2.0,82.0,196
4949,Kanakapura,3,1560.0,2.0,62.38,127
4950,Haralur Road,2,1140.0,2.0,42.0,90
4951,others,3,1431.0,3.0,65.0,232
4952,Lingadheeranahalli,3,1682.0,3.0,114.0,155
4953,Panathur,2,1198.0,2.0,86.26,181
4954,Sarjapur  Road,3,1550.0,2.0,69.75,196
4955,Kodichikkanahalli,2,1026.0,2.0,45.0,139
4956,Hennur,3,1260.0,2.0,52.0,95
4957,others,2,690.0,2.0,42.0,232
4958,Sarakki Nagar,4,1200.0,4.0,85.0,194
4959,Attibele,3,2400.0,3.0,120.0,21
4960,Thubarahalli,2,1200.0,2.0,79.55,213
4961,Sarjapur  Road,3,1186.0,2.0,40.0,196
4962,Thanisandra,2,1039.0,2.0,39.5,211
4963,Gottigere,5,1500.0,4.0,100.0,82
4964,Malleshwaram,3,2520.0,3.0,150.0,161
4965,Brookefield,2,1225.0,2.0,66.5,51
4966,Bommanahalli,2,1350.0,2.0,72.0,47
4967,Whitefield,3,1550.0,2.0,49.6,226
4968,Hoodi,3,1490.0,3.0,79.0,97
4969,others,3,1520.0,3.0,111.0,232
4970,others,3,1391.0,2.0,64.5,232
4971,Rachenahalli,2,1200.0,2.0,50.0,185
4972,others,4,1200.0,4.0,86.0,232
4973,Yelahanka,2,1322.0,2.0,80.0,228
4974,Whitefield,3,2173.0,3.0,128.0,226
4975,Sarjapur  Road,2,1200.0,2.0,75.0,196
4976,Thubarahalli,2,1200.0,2.0,47.0,213
4977,Mysore Road,2,1170.0,2.0,65.0,167
4978,NRI Layout,2,1125.0,2.0,45.56,169
4979,others,2,1250.0,2.0,90.0,232
4980,Yelahanka,3,1075.0,2.0,36.0,228
4981,Whitefield,3,1435.0,3.0,45.0,226
4982,Electronics City Phase 1,2,1175.0,2.0,64.98,76
4983,others,2,900.0,2.0,33.0,232
4984,Electronics City Phase 1,1,585.0,1.0,21.0,76
4985,Jigani,4,3170.0,5.0,230.0,114
4986,Thanisandra,2,1220.0,2.0,42.0,211
4987,Bannerghatta Road,2,960.0,2.0,58.0,34
4988,NGR Layout,1,907.0,1.0,38.0,168
4989,Old Madras Road,2,1210.0,2.0,74.0,178
4990,others,2,1230.0,2.0,70.0,232
4991,5th Phase JP Nagar,3,1350.0,2.0,75.0,4
4992,Kenchenahalli,2,1150.0,2.0,58.0,135
4993,Sarjapur,3,1404.0,2.0,53.35,195
4994,OMBR Layout,2,1050.0,2.0,48.0,176
4995,Yelahanka,2,1285.0,2.0,56.0,228
4996,Hormavu,2,1018.0,2.0,50.8,100
4997,Hoskote,3,1200.0,3.0,57.0,103
4998,others,3,1600.0,3.0,95.0,232
4999,9th Phase JP Nagar,2,1480.0,2.0,80.0,8
5000,Kaval Byrasandra,1,480.0,1.0,25.0,134
5001,Akshaya Nagar,3,1435.0,3.0,53.0,11
5002,others,1,600.0,2.0,23.0,232
5003,CV Raman Nagar,3,1590.0,2.0,85.0,53
5004,Nagavara,2,936.0,2.0,40.2,172
5005,Banashankari,2,1181.0,2.0,75.0,26
5006,Kengeri,3,1741.0,3.0,80.0,136
5007,JP Nagar,3,1750.0,3.0,123.0,110
5008,Varthur Road,2,1050.0,2.0,42.7,220
5009,Tumkur Road,2,1027.0,2.0,60.0,216
5010,Sector 2 HSR Layout,3,1600.0,3.0,70.0,198
5011,Sahakara Nagar,2,1000.0,2.0,60.0,192
5012,Varthur,2,1120.0,2.0,44.24,219
5013,others,2,1200.0,2.0,85.0,232
5014,others,2,1200.0,2.0,35.0,232
5015,Kasturi Nagar,3,1570.0,3.0,110.0,132
5016,Electronic City Phase II,2,1140.0,2.0,33.84,75
5017,Banashankari,2,1105.0,2.0,90.0,26
5018,Electronic City,2,1200.0,2.0,34.65,74
5019,Whitefield,1,905.0,1.0,62.0,226
5020,Kudlu Gate,2,1185.0,2.0,50.0,149
5021,Rayasandra,3,1458.0,3.0,60.0,191
5022,Hormavu,3,1555.0,3.0,75.0,100
5023,others,2,1200.0,2.0,45.0,232
5024,Sarjapur  Road,2,1308.0,2.0,58.86,196
5025,Kudlu,2,1024.0,2.0,44.0,148
5026,Kanakapura,3,1450.0,3.0,75.0,127
5027,Seegehalli,3,1639.0,3.0,120.0,200
5028,Hennur Road,2,1232.0,2.0,87.0,96
5029,others,3,2000.0,4.0,130.0,232
5030,Jakkur,2,1230.0,2.0,79.0,111
5031,KR Puram,2,1076.0,2.0,67.0,116
5032,others,3,995.0,2.0,34.82,232
5033,Electronic City,2,1096.0,2.0,40.55,74
5034,Horamavu Agara,2,1107.83,2.0,41.51,98
5035,8th Phase JP Nagar,3,1564.9842423276207,3.0,72.02,7
5036,Whitefield,2,1320.0,2.0,99.26,226
5037,Whitefield,3,2901.0,4.0,190.0,226
5038,GM Palaya,3,1315.0,2.0,65.0,78
5039,others,2,1000.0,2.0,44.0,232
5040,Hosakerehalli,3,1596.0,3.0,79.8,102
5041,Bannerghatta Road,3,1750.0,3.0,130.0,34
5042,Old Madras Road,3,1350.0,3.0,47.25,178
5043,others,2,1175.0,2.0,79.0,232
5044,Talaghattapura,2,921.0,2.0,29.47,210
5045,Sultan Palaya,3,1713.0,3.0,125.0,208
5046,others,2,1200.0,2.0,43.0,232
5047,8th Phase JP Nagar,3,1900.0,4.0,90.0,7
5048,Kudlu Gate,3,1664.0,3.0,68.0,149
5049,Binny Pete,3,1795.0,3.0,139.0,45
5050,Kereguddadahalli,1,600.0,1.0,19.5,138
5051,Hoodi,2,1240.0,2.0,65.0,97
5052,Hegde Nagar,3,1965.0,4.0,132.0,94
5053,Electronics City Phase 1,2,1200.0,2.0,59.76,76
5054,others,2,1112.0,2.0,68.0,232
5055,Mahadevpura,2,1136.0,2.0,64.5,157
5056,Jigani,2,914.0,2.0,55.0,114
5057,Poorna Pragna Layout,3,1270.0,2.0,50.79,182
5058,Rachenahalli,2,1050.0,2.0,47.25,185
5059,Marathahalli,3,1385.0,2.0,68.5,162
5060,others,2,990.0,2.0,35.0,232
5061,Yelahanka,2,845.0,2.0,43.0,228
5062,Whitefield,2,1485.0,2.0,96.51,226
5063,Kanakapura,3,1460.0,2.0,43.79,127
5064,Thanisandra,2,1450.0,2.0,57.0,211
5065,HSR Layout,3,1360.0,2.0,53.0,89
5066,Singasandra,2,1375.0,2.0,58.0,203
5067,Uttarahalli,2,1125.0,2.0,48.0,218
5068,7th Phase JP Nagar,3,1460.0,2.0,100.0,6
5069,others,2,1107.0,2.0,40.0,232
5070,others,2,1158.0,2.0,75.0,232
5071,Yelachenahalli,2,800.0,1.0,30.0,227
5072,Bhoganhalli,3,1760.0,3.0,128.0,43
5073,others,4,3200.0,4.0,200.0,232
5074,TC Palaya,3,1350.0,3.0,60.0,209
5075,others,2,1125.0,2.0,32.49,232
5076,BTM Layout,3,1600.0,3.0,112.0,23
5077,others,2,1200.0,2.0,90.0,232
5078,Whitefield,3,1755.0,3.0,101.0,226
5079,Hulimavu,2,1200.0,2.0,50.0,105
5080,others,2,1200.0,2.0,67.0,232
5081,others,2,1266.67,2.0,69.0,232
5082,others,3,1800.0,3.0,90.0,232
5083,others,3,1300.0,3.0,64.0,232
5084,Mysore Road,2,1564.9842423276207,2.0,50.855,167
5085,Raja Rajeshwari Nagar,2,1128.0,2.0,40.0,186
5086,others,2,2000.0,2.0,160.0,232
5087,Panathur,2,1210.0,2.0,80.0,181
5088,Raja Rajeshwari Nagar,2,1151.0,2.0,39.0,186
5089,Sarjapur  Road,2,920.0,2.0,40.0,196
5090,Munnekollal,3,1750.0,3.0,86.5,165
5091,Dasanapura,2,1163.0,2.0,65.0,63
5092,7th Phase JP Nagar,3,1650.0,3.0,110.0,6
5093,others,3,1800.0,3.0,95.0,232
5094,CV Raman Nagar,2,1100.0,2.0,58.0,53
5095,R.T. Nagar,2,1200.0,2.0,60.0,184
5096,others,3,1410.0,3.0,65.0,232
5097,Begur Road,3,1933.0,3.0,98.0,39
5098,Begur Road,2,1200.0,2.0,45.6,39
5099,Whitefield,3,1608.0,2.0,63.0,226
5100,Horamavu Banaswadi,2,1156.0,2.0,46.9,99
5101,others,2,1230.0,2.0,75.0,232
5102,Kasavanhalli,1,770.0,1.0,43.82,131
5103,Ardendale,3,1777.26,3.0,105.0,19
5104,Kanakpura Road,2,1339.0,2.0,85.0,128
5105,Sarjapur  Road,3,3044.0,3.0,183.0,196
5106,others,2,1080.0,2.0,44.8,232
5107,others,2,2400.0,2.0,135.0,232
5108,Hulimavu,3,1450.0,3.0,72.0,105
5109,Kothanur,2,1075.0,2.0,53.0,147
5110,Sarjapur  Road,3,1163.0,2.0,62.0,196
5111,TC Palaya,2,1200.0,2.0,65.0,209
5112,Hebbal,2,1299.0,2.0,100.0,92
5113,HRBR Layout,2,1170.0,2.0,75.0,88
5114,Yelahanka,4,2600.0,4.0,175.0,228
5115,KR Puram,2,1140.0,2.0,43.32,116
5116,Kanakpura Road,3,1900.0,3.0,125.0,128
5117,Bommasandra Industrial Area,2,1090.0,2.0,31.48,49
5118,Electronic City,2,1110.0,2.0,39.95,74
5119,Nagavarapalya,1,705.0,1.0,57.0,173
5120,HBR Layout,2,1089.0,2.0,60.0,87
5121,others,2,880.0,2.0,48.0,232
5122,Kereguddadahalli,2,1080.0,2.0,32.0,138
5123,Thanisandra,2,1093.0,2.0,68.1,211
5124,Banashankari Stage III,3,1480.0,3.0,75.48,28
5125,Hegde Nagar,3,1703.0,3.0,125.0,94
5126,Hebbal,2,1200.0,2.0,60.0,92
5127,Marathahalli,3,1690.0,3.0,116.0,162
5128,Yelahanka,2,1305.0,2.0,78.0,228
5129,Talaghattapura,3,1257.0,2.0,40.22,210
5130,others,2,1150.0,2.0,45.0,232
5131,others,2,1194.0,2.0,55.0,232
5132,others,3,2000.0,3.0,90.0,232
5133,Anekal,3,1500.0,4.0,99.0,17
5134,others,2,1025.0,2.0,42.5,232
5135,Horamavu Agara,2,980.0,2.0,38.19,98
5136,Whitefield,3,2225.0,3.0,149.0,226
5137,others,2,1022.0,2.0,57.0,232
5138,others,2,1153.0,2.0,45.0,232
5139,Pai Layout,2,1175.0,2.0,60.0,180
5140,Vidyaranyapura,3,1560.0,3.0,68.0,221
5141,Billekahalli,2,1350.0,3.0,55.0,44
5142,others,2,1200.0,2.0,76.0,232
5143,others,2,1200.0,1.0,54.0,232
5144,Chandapura,2,800.0,2.0,25.0,55
5145,Electronic City,4,2093.0,4.0,104.0,74
5146,Uttarahalli,3,1320.0,2.0,55.44,218
5147,Bannerghatta Road,2,1275.0,2.0,73.0,34
5148,Begur Road,2,1215.0,2.0,43.13,39
5149,Begur Road,3,1444.0,2.0,71.5,39
5150,others,2,950.0,2.0,38.0,232
5151,Banashankari Stage II,3,1240.0,2.0,59.52,27
5152,Hennur,2,1231.0,2.0,50.0,95
5153,Yeshwanthpur,3,1713.0,3.0,110.0,231
5154,Sarjapur  Road,3,3004.0,4.0,158.0,196
5155,Sonnenahalli,3,1310.0,2.0,46.0,206
5156,Jalahalli,2,790.0,2.0,49.5,112
5157,others,3,1605.0,3.0,100.0,232
5158,Whitefield,2,1250.0,2.0,82.0,226
5159,Subramanyapura,3,1260.0,2.0,76.0,207
5160,Yelahanka,2,1180.0,2.0,56.0,228
5161,Uttarahalli,3,1255.0,2.0,50.19,218
5162,Electronic City,2,1025.0,2.0,53.9,74
5163,Sarjapur  Road,3,1877.0,4.0,150.0,196
5164,Hennur,5,2500.0,5.0,125.0,95
5165,others,3,1542.0,3.0,98.0,232
5166,others,2,1012.0,2.0,42.0,232
5167,Chandapura,2,1200.0,2.0,65.0,55
5168,Sarjapur  Road,2,1115.0,2.0,43.0,196
5169,Green Glen Layout,3,1680.0,4.0,95.0,83
5170,Old Madras Road,2,1171.0,2.0,72.0,178
5171,Tumkur Road,2,1027.0,2.0,68.62,216
5172,Shampura,3,1700.0,3.0,75.0,201
5173,Kanakapura,2,1090.0,2.0,38.15,127
5174,Hennur Road,2,1232.0,2.0,74.0,96
5175,Anekal,2,766.0,2.0,28.0,17
5176,Kanakpura Road,1,525.0,1.0,27.0,128
5177,Hosa Road,3,1564.9842423276207,3.0,109.0,101
5178,Choodasandra,3,1254.0,2.0,65.0,60
5179,others,5,3600.0,5.0,110.0,232
5180,Kanakpura Road,3,1593.0,3.0,118.0,128
5181,others,2,1333.0,2.0,77.27,232
5182,Raja Rajeshwari Nagar,3,1375.0,2.0,54.99,186
5183,Ardendale,3,1650.0,3.0,82.0,19
5184,Thanisandra,3,1430.0,2.0,51.48,211
5185,Electronic City,2,940.0,2.0,54.0,74
5186,Electronic City,1,435.0,1.0,21.0,74
5187,Begur Road,2,1160.0,2.0,36.54,39
5188,Electronic City,3,1500.0,2.0,77.5,74
5189,Koramangala,3,1890.0,2.0,100.0,145
5190,others,2,1050.0,2.0,70.0,232
5191,Haralur Road,2,1027.0,2.0,43.0,90
5192,Whitefield,3,1564.9842423276207,2.0,61.28,226
5193,Seegehalli,3,3000.0,4.0,235.0,200
5194,Tumkur Road,3,1459.0,2.0,95.0,216
5195,Yelahanka,3,1711.0,3.0,85.61,228
5196,Hoodi,2,1250.0,2.0,98.0,97
5197,Anandapura,2,875.0,2.0,57.0,15
5198,Ramamurthy Nagar,2,1334.0,2.0,67.0,190
5199,others,2,1140.0,2.0,32.92,232
5200,Thigalarapalya,3,2072.0,4.0,160.0,212
5201,Kengeri Satellite Town,2,920.0,2.0,39.0,137
5202,Nagasandra,4,1310.0,3.0,95.0,171
5203,Electronic City,3,1631.0,3.0,80.0,74
5204,Kanakpura Road,1,525.0,1.0,27.5,128
5205,Jalahalli,3,1395.0,3.0,82.0,112
5206,others,3,2000.0,3.0,105.0,232
5207,Hennur Road,2,1232.0,2.0,66.0,96
5208,others,2,1075.0,2.0,55.0,232
5209,Gubbalala,2,1205.0,2.0,70.0,84
5210,Rayasandra,3,1179.0,2.0,55.0,191
5211,Kodigehaali,2,1013.0,2.0,51.0,140
5212,Uttarahalli,2,1160.0,2.0,40.6,218
5213,7th Phase JP Nagar,2,1200.0,2.0,62.5,6
5214,Uttarahalli,3,1255.0,2.0,50.19,218
5215,others,2,1069.0,2.0,55.0,232
5216,others,3,1200.0,3.0,99.0,232
5217,Marathahalli,2,1065.0,2.0,55.0,162
5218,Lakshminarayana Pura,2,1395.0,2.0,75.0,154
5219,others,2,1007.0,2.0,43.0,232
5220,Kengeri,3,1436.0,2.0,55.0,136
5221,others,6,4250.0,6.0,150.0,232
5222,Kengeri,2,1200.0,2.0,58.0,136
5223,Mysore Road,2,940.0,2.0,43.61,167
5224,KR Puram,6,4300.0,6.0,175.0,116
5225,Haralur Road,2,1194.0,2.0,47.0,90
5226,Dodda Nekkundi,3,1829.0,3.0,125.0,67
5227,others,2,1000.0,2.0,60.0,232
5228,others,3,5720.0,3.0,350.0,232
5229,Hebbal,2,1390.0,2.0,95.0,92
5230,Lakshminarayana Pura,3,1500.0,3.0,104.0,154
5231,Vijayanagar,3,2047.0,3.0,136.0,222
5232,Jakkur,2,1202.0,2.0,79.0,111
5233,others,2,1012.0,2.0,59.0,232
5234,Gunjur,3,2132.0,3.0,80.0,85
5235,Whitefield,1,605.0,1.0,40.0,226
5236,Harlur,2,1331.0,2.0,88.0,91
5237,Margondanahalli,2,1200.0,2.0,69.0,163
5238,others,3,1280.0,2.0,49.0,232
5239,Balagere,2,1007.0,2.0,62.0,25
5240,Thanisandra,3,1370.0,2.0,61.0,211
5241,others,2,925.0,2.0,35.0,232
5242,TC Palaya,2,1500.0,2.0,75.0,209
5243,Hennur Road,2,1341.0,2.0,95.0,96
5244,others,3,1350.0,2.0,47.25,232
5245,Tumkur Road,2,992.0,2.0,60.0,216
5246,Uttarahalli,2,1163.0,2.0,68.0,218
5247,Sarjapur  Road,2,1229.0,2.0,70.0,196
5248,others,2,600.0,2.0,39.0,232
5249,Electronic City Phase II,2,1219.0,2.0,61.26,75
5250,Raja Rajeshwari Nagar,3,1525.0,2.0,99.13,186
5251,Kasavanhalli,2,1147.0,2.0,60.0,131
5252,Akshaya Nagar,3,1412.0,2.0,88.0,11
5253,Sarjapur  Road,2,1044.0,2.0,34.77,196
5254,Nagarbhavi,2,1190.0,2.0,63.0,170
5255,others,3,1240.0,2.0,65.0,232
5256,Jigani,3,1352.0,3.0,65.0,114
5257,others,2,1100.0,2.0,55.0,232
5258,Uttarahalli,3,1330.0,2.0,39.9,218
5259,others,3,1700.0,3.0,111.0,232
5260,Electronic City,2,1355.0,2.0,67.0,74
5261,Ramamurthy Nagar,2,1200.0,2.0,46.0,190
5262,Kengeri,1,400.0,2.0,25.0,136
5263,Sarjapur  Road,2,1342.0,2.0,70.0,196
5264,Begur Road,3,1615.0,3.0,50.87,39
5265,others,2,1340.0,2.0,65.0,232
5266,Devanahalli,2,1080.0,2.0,52.0,65
5267,Hennur Road,3,2700.0,3.0,150.0,96
5268,others,3,1780.0,3.0,110.0,232
5269,Amruthahalli,3,1605.0,3.0,65.0,14
5270,Kammanahalli,2,1200.0,2.0,80.0,125
5271,Margondanahalli,2,900.0,2.0,49.0,163
5272,Sarjapur,3,1830.0,3.0,88.0,195
5273,others,5,1800.0,4.0,68.0,232
5274,Uttarahalli,2,1065.0,2.0,42.59,218
5275,others,3,900.0,2.0,65.0,232
5276,others,2,946.0,2.0,45.0,232
5277,Laggere,1,1500.0,1.0,60.0,153
5278,Sarjapur  Road,3,1711.0,3.0,110.0,196
5279,Kudlu Gate,3,1656.0,3.0,80.0,149
5280,Uttarahalli,2,1075.0,2.0,46.76,218
5281,Harlur,3,1752.12,3.0,133.0,91
5282,others,3,1540.0,3.0,85.0,232
5283,LB Shastri Nagar,1,665.0,1.0,32.0,152
5284,Sector 2 HSR Layout,3,1665.0,3.0,110.0,198
5285,Electronics City Phase 1,2,1145.0,2.0,54.0,76
5286,Whitefield,2,1185.0,2.0,41.0,226
5287,Marathahalli,3,1693.0,3.0,125.0,162
5288,Uttarahalli,2,1155.0,2.0,40.6,218
5289,others,3,1610.0,2.0,64.4,232
5290,Whitefield,3,1200.0,3.0,56.58,226
5291,EPIP Zone,3,1709.0,3.0,80.0,73
5292,Gottigere,3,1400.0,2.0,50.0,82
5293,KR Puram,2,1200.0,2.0,42.0,116
5294,others,3,1439.0,3.0,57.23,232
5295,Kasavanhalli,2,1375.0,2.0,72.0,131
5296,Vijayanagar,3,1200.0,2.0,75.0,222
5297,Yelahanka,2,1315.0,2.0,75.0,228
5298,Yelahanka,6,3600.0,6.0,200.0,228
5299,Vijayanagar,2,1178.0,2.0,82.0,222
5300,Bannerghatta Road,3,1430.0,3.0,59.0,34
5301,Mahadevpura,3,1400.0,2.0,65.8,157
5302,Thanisandra,2,1093.0,2.0,72.0,211
5303,Horamavu Banaswadi,2,1200.0,2.0,45.0,99
5304,Magadi Road,5,5000.0,6.0,360.0,156
5305,Whitefield,3,2210.0,3.0,156.0,226
5306,Uttarahalli,2,1150.0,2.0,70.0,218
5307,others,3,1435.0,2.0,60.0,232
5308,Whitefield,2,1173.0,2.0,78.2,226
5309,Thanisandra,2,1140.0,2.0,39.0,211
5310,others,3,1717.0,3.0,120.0,232
5311,Mallasandra,2,1325.0,2.0,65.0,159
5312,Hoodi,3,1370.0,3.0,67.0,97
5313,others,3,1409.0,2.0,62.0,232
5314,Bellandur,2,1200.0,2.0,52.0,40
5315,Thanisandra,2,1200.0,2.0,53.5,211
5316,Whitefield,3,1740.0,4.0,130.0,226
5317,Hennur Road,2,1232.0,2.0,88.0,96
5318,Chandapura,2,1200.0,2.0,36.0,55
5319,others,2,1250.0,2.0,50.0,232
5320,Bommanahalli,4,2100.0,4.0,85.0,47
5321,5th Phase JP Nagar,1,552.0,1.0,23.5,4
5322,Uttarahalli,3,1065.0,2.0,42.59,218
5323,others,2,1225.0,2.0,65.0,232
5324,Padmanabhanagar,2,1067.0,2.0,52.0,179
5325,Sarjapur,3,1364.0,2.0,56.0,195
5326,others,3,1750.0,3.0,75.0,232
5327,Bannerghatta Road,2,1240.0,2.0,71.0,34
5328,Hulimavu,2,1200.0,2.0,75.0,105
5329,Kaggadasapura,3,1540.0,3.0,75.0,119
5330,others,3,1504.0,2.0,102.0,232
5331,others,2,1116.0,2.0,49.8,232
5332,Hennur Road,3,2365.0,4.0,175.0,96
5333,Vijayanagar,2,864.0,2.0,45.0,222
5334,Hoskote,3,1069.0,2.0,38.0,103
5335,Hebbal,2,1333.0,2.0,100.0,92
5336,others,4,1800.0,4.0,145.0,232
5337,Thanisandra,3,1698.0,3.0,107.0,211
5338,JP Nagar,3,1275.0,2.0,43.6,110
5339,Raja Rajeshwari Nagar,2,1060.0,2.0,48.0,186
5340,Hennur,2,1160.0,2.0,49.0,95
5341,Sarjapur  Road,3,1484.0,2.0,65.0,196
5342,Hennur Road,2,1310.0,2.0,66.0,96
5343,others,4,3000.0,4.0,240.0,232
5344,Varthur,3,2145.0,3.0,165.0,219
5345,Marathahalli,3,1693.0,3.0,125.0,162
5346,Jigani,3,1230.0,3.0,60.0,114
5347,Bommasandra Industrial Area,3,1310.0,2.0,37.83,49
5348,others,2,1150.0,2.0,60.0,232
5349,Munnekollal,3,1385.0,2.0,66.5,165
5350,Tumkur Road,2,1066.0,2.0,52.5,216
5351,Thanisandra,3,2293.0,3.0,80.26,211
5352,others,3,1625.0,3.0,92.0,232
5353,Raja Rajeshwari Nagar,6,3900.0,6.0,195.0,186
5354,7th Phase JP Nagar,2,1000.0,2.0,70.65,6
5355,Nagavarapalya,2,907.0,2.0,38.0,173
5356,Ulsoor,4,3500.0,4.0,138.0,217
5357,Varthur,3,1395.0,2.0,79.0,219
5358,others,2,1180.0,2.0,50.0,232
5359,Banaswadi,5,1903.0,6.0,140.0,31
5360,Electronic City,2,1175.0,2.0,47.0,74
5361,others,2,1272.0,2.0,51.5,232
5362,others,3,1490.0,2.0,92.0,232
5363,Yeshwanthpur,2,1144.0,2.0,67.0,231
